regex,class
^ASTRONOMICAL LOW TIDE,Astronomical Low Tide
^AVALANCH?E,Avalanche
.*BLIZZARD.*,Blizzard
^(BEACH|COASTAL|CSTL|TIDAL).*(EROSIO?N|FLOOD|STORM|SURGE).*,Coastal Flood
^EROSION/CSTL FLOOD,Coastal Flood
^COLD,Cold/Wind Chill
^COLD.*(TEMP|WAVE|WEATHER|WET|WIND).*,Cold/Wind Chill
^((LOW)?WIND.*CHILL|LOW TEMP).*,Cold/Wind Chill
^(LAND|MUD|ROCK).*(SLIDE|SLUMP).*,Debris Flow
^DENSE.*FOG.*,Dense Fog
.*SMOKE.*,Dense Smoke
.*(DRY|DROUGHT|BELOW NORMAL PRECIPITATION).*,Drought
^DUST.*(DEVEL|DEVIL).*,Dust Devil
^BLOWING DUST,Dust Devil
^DUST.*STORM.*,Dust Storm
^(EXCESSIVE|EXTREME|RECORD).*(HEAT|HIGH TEMP|WARM).*,Excessive Heat
^(BITTER|EXCESSIVE|EXTENDED|EXTREME|PROLONG|RECORD|SEVERE).*(COLD|COOL|WIND.*CHILL).*,Extreme Cold/Wind Chill
^LOW TEMPERATURE RECORD,Extreme Cold/Wind Chill
.*FLASH.*FLOOO?D.*,Flash Flood
.*FLOOD.*FLASH.*,Flash Flood
^DAM (BREAK|FAIL),Flash Flood
^ICE (FLOES|JAM).*,Flash Flood
^(HIGHWAY|LOCAL|MAJOR|MINOR|RIVER|RURAL|SMALL|STREAM|STREET|URBAN).*(FLD|FLOOD).*,Flood
^(FLOOD|SML STREAM FLD),Flood
.*(FREEZ|FROST|GLAZE).*,Frost/Freeze
.*(WALL|FUNNEL).*,Funnel Cloud
(FREEZ|ICE)?.*FOG,Freezing Fog
(DEEP|THUNDERSTORM)?.*HAIL.*,Hail
^HEAT.*,Heat
^HOT.*(PATTERN|SPELL|WEATHER).*,Heat
^(EXCESSIVE|HVY|HEAVY|PROLONGED|RECORD|TORRENTIAL|TSTM HEAVY).*(RAIN|SHOWER).*,Heavy Rain
^RAIN .HEAVY.,Heavy Rain
^(EXCESSIVE|HEAVY|RECORD) SNOW.*,Heavy Snow
^(HEAVY WET|NEAR RECORD|RECORD WINTER) SNOW,Heavy Snow
^(HAZARDOUS|HIGH|HEAVY|ROUGH).*(SEAS|SURF|SWELL|TIDE|WATER|WAVES).*,High Surf
^HIGH.*WIND.*,High Wind
^(HURRICANE|TYPHOON).*,Hurricane (Typhoon)
^ICE.*(STORM|WIND),Ice Storm
^(HEAVY )?LAKE.*SNOW,Lake-Effect Snow
^LAKE.*FLOOD,Lakeshore Flood
^(LIGHT|LIGHTN|LIGNTN)ING.*,Lightning
^MARINE HAIL,Marine Hail
^MARINE HIGH WIND,Marine High Wind
^MARINE STRONG WIND,Marine Strong Wind
^MARINE (THUNDERSTORM|TSTM) WIND,Marine Thunderstorm Wind
^RIP CURRENT.*,Rip Current
^SEICHE,Seiche
^SLEET.*,Sleet
^STORM SURGE.*,Storm Surge/Tide
^(GUSTY|STRONG|SEVERE|STORM)( (FORCE|LAKE|THUNDERSTORMS?))? WIND.*,Strong Wind
^WIND.*(DAMAGE|GUST|STORM).*,Strong Wind
^(THUDE|THUNDEER|THUNDERE|THUNDER?|THUNER|TSTM|TUNDER)(STORM|STROM|TORM|TSORM)?.*W.*,Thunderstorm Wind
^(GUSTNADO|DOWNBURST|MICROBURST|WHIRLWIND|LANDSPOUT).*,Thunderstorm Wind
^(TORNADO|TORNDAO).*,Tornado
^TROPICAL DEPRESSION.*,Tropical Depression
^TROPICAL STORM.*,Tropical Storm
^TSUNAMI,Tsunami
^VOLCANIC (ASH|ERUPTION).*,Volcanic Ash
^WAY?TER.*SPOUT.*,Waterspout
^(BRUSH|FOREST|GRASS|WILD).*FIRE.*,Wild Fire
^WINTER.*STORM.*,Winter Storm
^((BLACK )?ICE|IC[EY].*(SNOW|ROADS|PELLETS))|(EARLY|FALLING|FIRST)SNOW),Winter Weather
^(WINTER.*WEATHER|COLD.*(FROST|SNOW|WIND)|(BLOW|DRIFT|LIGHT|MODERATE|SEASON|WET).*SNOW|WINT.*MIX|SNOW).*,Winter Weather
